Year,Value,Units,Series
2014,78025.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2018,92935.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2011,70847.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2012,70847.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2019,95091.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2020,98696.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2016,85839.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2013,71709.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2017,91153.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2015,78208.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2021,101165.0,Hektareak,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera
2011,14.28,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2014,15.87,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2021,20.7,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2018,18.9,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2019,19.34,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2012,14.41,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2015,15.9,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2016,17.45,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2020,20.07,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2017,18.54,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
2013,14.58,PT,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa
