Year,Value,Units,Series
2011,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2014,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2017,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2020,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2010,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2022,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2015,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2016,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2021,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2018,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2012,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2019,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2013,0.2,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono procedentes de la quema de combustibles
2010,0.5,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2011,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2012,0.5,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2013,0.5,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2014,0.5,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2015,0.5,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2016,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2017,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2018,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2019,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2020,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2021,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
2022,0.4,Kg de CO2 equivalente por euro de PIB,Emisiones de dióxido de carbono por unidad de valor añadido del sector manufacturero 
