Year,Value,Units,Series
2011,573.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2014,870.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2017,1081.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2020,1259.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2010,422.54,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2022,1464.9,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2015,944.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2016,993.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2021,1406.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2018,1157.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2012,660.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2019,1215.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2013,783.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2010,5.01,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2011,6.47,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2012,7.15,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2013,8.35,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2014,9.24,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2015,10.0,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2016,10.91,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2017,11.37,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2018,12.61,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2019,13.19,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2020,13.99,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2021,14.58,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2022,16.07,PT,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
