Year,Value,Units,Series
2015,46.8,%,EN_H2O_WBAMBQ
2022,57.1,%,EN_H2O_WBAMBQ
2018,65.8,%,EN_H2O_WBAMBQ
2019,60.9,%,EN_H2O_WBAMBQ
2021,62.4,%,EN_H2O_WBAMBQ
2016,58.2,%,EN_H2O_WBAMBQ
2023,55.7,%,EN_H2O_WBAMBQ
2020,59.4,%,EN_H2O_WBAMBQ
2017,64.4,%,EN_H2O_WBAMBQ
2024,59.6,%,EN_H2O_WBAMBQ
2020,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2024,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2017,91.7,%,Kalitate oneko lurpeko ur-masen proportzioa
2023,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2019,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2016,91.7,%,Kalitate oneko lurpeko ur-masen proportzioa
2015,91.7,%,Kalitate oneko lurpeko ur-masen proportzioa
2018,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2021,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2022,88.9,%,Kalitate oneko lurpeko ur-masen proportzioa
2018,60.8,%,Kalitate oneko azaleko ur-masen proportzioa
2023,48.5,%,Kalitate oneko azaleko ur-masen proportzioa
2020,53.0,%,Kalitate oneko azaleko ur-masen proportzioa
2021,56.6,%,Kalitate oneko azaleko ur-masen proportzioa
2024,53.3,%,Kalitate oneko azaleko ur-masen proportzioa
2022,50.3,%,Kalitate oneko azaleko ur-masen proportzioa
2017,58.4,%,Kalitate oneko azaleko ur-masen proportzioa
2016,50.6,%,Kalitate oneko azaleko ur-masen proportzioa
2015,36.0,%,Kalitate oneko azaleko ur-masen proportzioa
2019,54.8,%,Kalitate oneko azaleko ur-masen proportzioa
