Year,Series,Lurralde historikoa,Units,Value
2015,Birziklatutako hiri-hondakinen proportzioa,,PT,36.4
2016,Birziklatutako hiri-hondakinen proportzioa,,PT,38.0
2019,Birziklatutako hiri-hondakinen proportzioa,,PT,44.7
2013,Birziklatutako hiri-hondakinen proportzioa,,PT,28.2
2018,Birziklatutako hiri-hondakinen proportzioa,,PT,41.5
2010,Birziklatutako hiri-hondakinen proportzioa,,PT,24.7
2020,Birziklatutako hiri-hondakinen proportzioa,,PT,47.2
2011,Birziklatutako hiri-hondakinen proportzioa,,PT,25.6
2014,Birziklatutako hiri-hondakinen proportzioa,,PT,33.3
2017,Birziklatutako hiri-hondakinen proportzioa,,PT,39.3
2012,Birziklatutako hiri-hondakinen proportzioa,,PT,28.5
2014,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,27.0
2013,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,24.2
2020,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,39.2
2017,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,31.3
2016,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,33.7
2018,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,31.5
2019,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,38.4
2015,Birziklatutako hiri-hondakinen proportzioa,ES211,PT,30.6
2013,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,26.6
2015,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,28.7
2018,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,35.8
2014,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,28.2
2017,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,34.8
2019,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,37.9
2016,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,31.2
2020,Birziklatutako hiri-hondakinen proportzioa,ES213,PT,38.1
2020,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,69.3
2015,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,48.3
2017,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,48.7
2018,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,52.9
2019,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,59.3
2014,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,41.9
2013,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,31.9
2016,Birziklatutako hiri-hondakinen proportzioa,ES212,PT,48.4
