Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2012,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,33.73
2014,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2023,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.52
2019,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2024,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,35.32
2017,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2015,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2016,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2022,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.52
2018,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2020,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.13
2013,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,33.73
2021,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,34.52
2011,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,33.73
2010,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,,Porcentaje,,33.73
2017,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2011,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2016,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2020,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2022,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2012,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2024,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Larrialdietarako udal-plan bat duten udalerrien proportzioa,,,Abadiño,Porcentaje,Abadiño,100.0
