Year,Series,Ekosistema,Units,Value
2018,Babestutako lur-eremuen azalera (Km2),,Kilometro koadroak,1713.6
2021,Babestutako lur-eremuen azalera (Km2),,Kilometro koadroak,1714.1
2015,Babestutako lur-eremuen azalera (Km2),,Kilometro koadroak,1698.7
2015,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro koadroak,1138.9
2021,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro koadroak,1147.5
2018,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro koadroak,1147.4
2021,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro koadroak,37.8
2015,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro koadroak,37.5
2018,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro koadroak,37.6
2015,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro koadroak,429.0
2021,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro koadroak,432.2
2018,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro koadroak,432.1
2021,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro koadroak,35.9
2018,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro koadroak,35.9
2015,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro koadroak,32.5
2015,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro koadroak,14.8
2021,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro koadroak,14.8
2018,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro koadroak,14.8
2021,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro koadroak,45.9
2015,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro koadroak,46.0
2018,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro koadroak,45.9
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,,PT,23.5
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,,PT,23.7
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,,PT,23.7
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Basoak,PT,28.7
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Basoak,PT,28.9
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Basoak,PT,28.9
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Hezeguneak,PT,70.6
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Hezeguneak,PT,70.9
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Hezeguneak,PT,70.4
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Larreak,PT,24.2
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Larreak,PT,24.2
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Larreak,PT,24.0
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Laborantza-lurrak,PT,4.1
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Laborantza-lurrak,PT,4.1
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Laborantza-lurrak,PT,3.7
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Asentamenduak,PT,3.2
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Asentamenduak,PT,3.2
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Asentamenduak,PT,3.2
2021,Lurrazal babestuak lurrazalarekiko duen proportzioa,Beste lur batzuk,PT,70.6
2018,Lurrazal babestuak lurrazalarekiko duen proportzioa,Beste lur batzuk,PT,70.6
2015,Lurrazal babestuak lurrazalarekiko duen proportzioa,Beste lur batzuk,PT,70.5
