Year,Series,Actividad económica,Units,Value
2012,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,33.3
2019,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,33.5
2018,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.8
2013,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.7
2021,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.4
2010,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,31.9
2016,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.6
2014,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.3
2017,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.8
2011,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,33.1
2020,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,35.2
2015,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.2
