Year,Txerto mota,Units,Value
2019,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,93.1
2023,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,94.9
2018,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,92.5
2021,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,90.8
2017,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,93.0
2022,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,94.2
2020,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",Porcentaje,85.5
2017,Gaixotasun pneumokozikoa haurrengan,Porcentaje,88.3
2020,Gaixotasun pneumokozikoa haurrengan,Porcentaje,85.4
2021,Gaixotasun pneumokozikoa haurrengan,Porcentaje,90.6
2019,Gaixotasun pneumokozikoa haurrengan,Porcentaje,93.3
2022,Gaixotasun pneumokozikoa haurrengan,Porcentaje,94.2
2023,Gaixotasun pneumokozikoa haurrengan,Porcentaje,94.7
2018,Gaixotasun pneumokozikoa haurrengan,Porcentaje,91.3
2017,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,94.7
2018,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,93.5
2019,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,94.2
2020,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,90.2
2021,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,83.3
2022,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,88.1
2023,"Elgorria, parotiditis eta errubeola haurrengan",Porcentaje,91.3
2017,Giza papiloma (GPB ) nerabeetan,Porcentaje,93.4
2019,Giza papiloma (GPB ) nerabeetan,Porcentaje,85.5
2018,Giza papiloma (GPB ) nerabeetan,Porcentaje,92.6
2020,Giza papiloma (GPB ) nerabeetan,Porcentaje,88.5
2021,Giza papiloma (GPB ) nerabeetan,Porcentaje,69.1
2022,Giza papiloma (GPB ) nerabeetan,Porcentaje,85.3
2023,Giza papiloma (GPB ) nerabeetan,Porcentaje,92.8
