Year,Series,Territorio,Units,Value
2023,EU_EXP_RGI,,Euros,467682907.7
2023,EU_EXP_AES,,Euros,50169917.0
2020,EU_EXP_AES,,Euros,44411720.1
2021,EU_EXP_AES,,Euros,46360701.9
2020,EU_EXP_RGI,,Euros,449871225.6
2019,EU_EXP_RGI,,Euros,422486652.7
2021,EU_EXP_RGI,,Euros,426611597.6
2022,EU_EXP_RGI,,Euros,379621575.8
2022,EU_EXP_AES,,Euros,48425936.7
2020,EU_EXP_AES,Araba/Álava,Euros,8512672.3
2020,EU_EXP_RGI,Araba/Álava,Euros,75592140.0
2023,EU_EXP_AES,Araba/Álava,Euros,9479475.5
2023,EU_EXP_RGI,Araba/Álava,Euros,88337482.6
2021,EU_EXP_RGI,Araba/Álava,Euros,77158265.7
2019,EU_EXP_RGI,Araba/Álava,Euros,69038464.0
2021,EU_EXP_AES,Araba/Álava,Euros,9141230.9
2022,EU_EXP_AES,Araba/Álava,Euros,8383685.4
2022,EU_EXP_RGI,Araba/Álava,Euros,69717518.1
2020,EU_EXP_AES,Bizkaia,Euros,23306648.3
2023,EU_EXP_RGI,Bizkaia,Euros,272838252.8
2022,EU_EXP_AES,Bizkaia,Euros,26243998.5
2019,EU_EXP_RGI,Bizkaia,Euros,257869703.6
2021,EU_EXP_RGI,Bizkaia,Euros,251246189.2
2022,EU_EXP_RGI,Bizkaia,Euros,224539585.7
2020,EU_EXP_RGI,Bizkaia,Euros,270461291.1
2021,EU_EXP_AES,Bizkaia,Euros,24422424.1
2023,EU_EXP_AES,Bizkaia,Euros,26586648.2
2020,EU_EXP_AES,Gipuzkoa,Euros,12592399.5
2023,EU_EXP_RGI,Gipuzkoa,Euros,106507172.2
2023,EU_EXP_AES,Gipuzkoa,Euros,14103793.3
2022,EU_EXP_RGI,Gipuzkoa,Euros,85364472.0
2021,EU_EXP_RGI,Gipuzkoa,Euros,98207142.7
2021,EU_EXP_AES,Gipuzkoa,Euros,12797046.9
2020,EU_EXP_RGI,Gipuzkoa,Euros,103817794.5
2019,EU_EXP_RGI,Gipuzkoa,Euros,95578485.1
2022,EU_EXP_AES,Gipuzkoa,Euros,13798252.8
