Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2016,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2023,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2010,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2022,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2021,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2019,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,,PT,,99.9
2020,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2016,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2022,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2023,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,PT,Abadiño,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2016,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2021,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2010,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2023,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2013,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2020,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2022,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2019,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2014,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2018,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,PT,Abaltzisketa,99.1
2021,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2022,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2010,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2019,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2018,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2016,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2015,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
2013,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2020,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2023,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.7
2014,Edateko ura duten etxebizitzen proportzioa,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,99.8
