Year,Series,Sexo,Units,Value
2013,EU_OVWGT_Y2T17,,PT,35.6
2017,EU_OVWGT_GE18,,PT,13.8
2018,EU_OVWGT_GE18,,PT,12.8
2014,EU_OVWGT_GE18,,PT,13.0
2011,EU_OVWGT_GE18,,PT,15.3
2013,EU_OVWGT_GE18,,PT,14.5
2023,EU_OVWGT_Y2T17,,PT,36.1
2018,EU_OVWGT_Y2T17,,PT,33.4
2023,EU_OVWGT_GE18,,PT,14.0
2019,EU_OVWGT_GE18,,PT,13.5
2013,EU_OVWGT_Y2T17,F,PT,36.4
2018,EU_OVWGT_GE18,F,PT,11.7
2018,EU_OVWGT_Y2T17,F,PT,30.3
2023,EU_OVWGT_GE18,F,PT,13.5
2017,EU_OVWGT_GE18,F,PT,13.5
2011,EU_OVWGT_GE18,F,PT,15.3
2013,EU_OVWGT_GE18,F,PT,13.8
2019,EU_OVWGT_GE18,F,PT,13.5
2014,EU_OVWGT_GE18,F,PT,11.9
2023,EU_OVWGT_Y2T17,F,PT,34.3
2017,EU_OVWGT_GE18,M,PT,14.2
2013,EU_OVWGT_GE18,M,PT,15.2
2011,EU_OVWGT_GE18,M,PT,15.2
2013,EU_OVWGT_Y2T17,M,PT,35.0
2018,EU_OVWGT_Y2T17,M,PT,34.1
2018,EU_OVWGT_GE18,M,PT,14.0
2023,EU_OVWGT_Y2T17,M,PT,37.7
2019,EU_OVWGT_GE18,M,PT,13.5
2014,EU_OVWGT_GE18,M,PT,14.2
2023,EU_OVWGT_GE18,M,PT,14.6
