Year,Sexo,Units,Value
2021,,PT,0.7
2020,,PT,0.1
2010,,PT,0.1
2019,,PT,1.1
2015,,PT,0
2016,,PT,0
2012,,PT,0.7
2017,,PT,0
2011,,PT,0.2
2018,,PT,1.1
2023,,PT,1.2
2014,,PT,0.4
2013,,PT,0.2
2022,,PT,0.7
2010,F,PT,0.1
2011,F,PT,0.2
2013,F,PT,0.2
2014,F,PT,0.4
2022,F,PT,0.9
2015,F,PT,0
2016,F,PT,0
2018,F,PT,0.9
2012,F,PT,0.4
2019,F,PT,1.3
2020,F,PT,0.2
2021,F,PT,0.7
2017,F,PT,0
2023,F,PT,1.3
2022,M,PT,0.5
2023,M,PT,1
2016,M,PT,0
2017,M,PT,0
2013,M,PT,0.2
2011,M,PT,0.2
2010,M,PT,0.1
2018,M,PT,1.3
2019,M,PT,0.9
2014,M,PT,0.4
2020,M,PT,0
2021,M,PT,0.6
2015,M,PT,0
2012,M,PT,1.1
