Year,Series,Actividad,Units,Value
2017,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.2
2021,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.1
2010,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.6
2020,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.5
2015,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.1
2019,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.4
2018,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.2
2016,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.2
2014,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.3
2013,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.6
2011,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,18.6
2012,EU_sdg_02_60_KG_PER_HA,,KG_PER_HA,19.2
2017,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,40.2
2016,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,39.4
2010,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,38.1
2015,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,38.7
2012,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,38.3
2021,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,35.2
2011,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,36.3
2014,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,38.9
2018,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,37
2020,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,36.1
2019,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,37
2013,EU_sdg_02_60_KG_PER_HA,NFR_3DF,KG_PER_HA,39.1
2013,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.6
2012,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8
2010,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8.6
2017,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.9
2021,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.3
2020,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.5
2018,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.1
2016,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.1
2011,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8.3
2014,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.7
2015,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.5
2019,EU_sdg_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.9
2010,EU_sdg_02_60_KT,,KT,4.3
2015,EU_sdg_02_60_KT,,KT,4.2
2016,EU_sdg_02_60_KT,,KT,4.2
2017,EU_sdg_02_60_KT,,KT,4.3
2012,EU_sdg_02_60_KT,,KT,4.2
2018,EU_sdg_02_60_KT,,KT,4
2021,EU_sdg_02_60_KT,,KT,4
2013,EU_sdg_02_60_KT,,KT,4.1
2014,EU_sdg_02_60_KT,,KT,4.3
2011,EU_sdg_02_60_KT,,KT,4.1
2019,EU_sdg_02_60_KT,,KT,4.1
2020,EU_sdg_02_60_KT,,KT,4.1
2017,EU_sdg_02_60_KT,NFR_3DF,KT,3.3
2015,EU_sdg_02_60_KT,NFR_3DF,KT,3.2
2014,EU_sdg_02_60_KT,NFR_3DF,KT,3.2
2012,EU_sdg_02_60_KT,NFR_3DF,KT,3.1
2011,EU_sdg_02_60_KT,NFR_3DF,KT,3
2010,EU_sdg_02_60_KT,NFR_3DF,KT,3.1
2016,EU_sdg_02_60_KT,NFR_3DF,KT,3.3
2020,EU_sdg_02_60_KT,NFR_3DF,KT,3.1
2013,EU_sdg_02_60_KT,NFR_3DF,KT,3.2
2021,EU_sdg_02_60_KT,NFR_3DF,KT,3
2019,EU_sdg_02_60_KT,NFR_3DF,KT,3.1
2018,EU_sdg_02_60_KT,NFR_3DF,KT,3
2018,EU_sdg_02_60_KT,NFR_3B,KT,1
2014,EU_sdg_02_60_KT,NFR_3B,KT,1.1
2011,EU_sdg_02_60_KT,NFR_3B,KT,1.2
2016,EU_sdg_02_60_KT,NFR_3B,KT,1
2012,EU_sdg_02_60_KT,NFR_3B,KT,1.1
2010,EU_sdg_02_60_KT,NFR_3B,KT,1.2
2013,EU_sdg_02_60_KT,NFR_3B,KT,0.9
2021,EU_sdg_02_60_KT,NFR_3B,KT,1
2015,EU_sdg_02_60_KT,NFR_3B,KT,1
2020,EU_sdg_02_60_KT,NFR_3B,KT,1
2019,EU_sdg_02_60_KT,NFR_3B,KT,0.9
2017,EU_sdg_02_60_KT,NFR_3B,KT,1
