Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
ES0101,ES0101,ES0101,ES0101,40,17
ES0102,ES0102,ES0102,ES0102,40,17
ES0103,ES0103,ES0103,ES0103,40,17
ES0104,ES0104,ES0104,ES0104,40,17
ES0105,ES0105,ES0105,ES0105,40,17
ES0106,ES0106,ES0106,ES0106,40,17
ES2001,ES2001,ES2001,ES2001,40,17
ES2002,ES2002,ES2002,ES2002,40,17
ES2003,ES2003,ES2003,ES2003,40,17
ES2004,ES2004,ES2004,ES2004,40,17
ES2005,ES2005,ES2005,ES2005,40,17
ES2006,ES2006,ES2006,ES2006,40,17
ES2007,ES2007,ES2007,ES2007,40,17
ES4801,ES4801,ES4801,ES4801,40,17
ES4802,ES4802,ES4802,ES4802,40,17
ES4803,ES4803,ES4803,ES4803,40,17
ES4804,ES4804,ES4804,ES4804,40,17
ES4805,ES4805,ES4805,ES4805,40,17
ES4806,ES4806,ES4806,ES4806,40,17
ES4807,ES4807,ES4807,ES4807,40,17
