Year,Gasto,Units,Value
2022,Superiores al 10%,Porcentaje,7.6
2013,Superiores al 10%,Porcentaje,6.1
2021,Superiores al 10%,Porcentaje,7.2
2017,Superiores al 10%,Porcentaje,6.6
2012,Superiores al 10%,Porcentaje,5.4
2015,Superiores al 10%,Porcentaje,6.8
2016,Superiores al 10%,Porcentaje,7.0
2018,Superiores al 10%,Porcentaje,7.0
2010,Superiores al 10%,Porcentaje,5.1
2023,Superiores al 10%,Porcentaje,8.3
2020,Superiores al 10%,Porcentaje,7.6
2011,Superiores al 10%,Porcentaje,5.5
2019,Superiores al 10%,Porcentaje,8.2
2014,Superiores al 10%,Porcentaje,5.5
2010,Superiores al 25%,Porcentaje,1.2
2011,Superiores al 25%,Porcentaje,1.6
2013,Superiores al 25%,Porcentaje,1.3
2014,Superiores al 25%,Porcentaje,1.2
2022,Superiores al 25%,Porcentaje,1.7
2015,Superiores al 25%,Porcentaje,1.6
2016,Superiores al 25%,Porcentaje,1.2
2017,Superiores al 25%,Porcentaje,1.4
2018,Superiores al 25%,Porcentaje,1.4
2012,Superiores al 25%,Porcentaje,1.3
2019,Superiores al 25%,Porcentaje,1.7
2020,Superiores al 25%,Porcentaje,0.9
2021,Superiores al 25%,Porcentaje,1.3
2023,Superiores al 25%,Porcentaje,1.4
